rows,world,it,time
100000000,1,0,53050.976514816284
100000000,1,1,48675.14443397522
100000000,1,2,49126.5184879303
100000000,1,3,48838.488817214966
100000000,1,4,48876.590728759766
100000000,2,0,46213.88792991638
100000000,2,1,45314.39185142517
100000000,2,2,42347.763776779175
100000000,2,3,41293.22671890259
100000000,2,4,41061.16056442261
100000000,4,0,43542.66262054443
100000000,4,1,39015.467166900635
100000000,4,2,39716.87912940979
100000000,4,3,38445.08600234985
100000000,4,4,38662.61315345764
100000000,8,0,44923.86221885681
100000000,8,1,46359.38763618469
100000000,8,2,43127.69436836243
100000000,8,3,44100.09026527405
100000000,8,4,40181.49828910828
100000000,16,0,56041.04804992676
100000000,16,1,44673.00629615784
100000000,16,2,42363.64817619324
100000000,16,3,45992.81597137451
100000000,16,4,48642.52519607544
100000000,32,0,55344.46740150452
100000000,32,1,50185.54353713989
100000000,32,2,50377.34246253967
100000000,32,3,44624.90105628967
100000000,32,4,44168.53976249695
